number_of_games,scores,eps_history
1,-293.1820138367012,0.980159361278976
2,-529.8314116450482,0.6512522118948676
3,-330.260508495576,0.49588871389954575
4,-351.44761374652353,0.3930301369795873
5,-471.8295904421192,0.29926840261086546
6,-555.9981705025101,0.22878973744785336
7,-616.0748728561783,0.16208381281462655
8,-381.87632901512154,0.13106435084726298
9,-503.7980793024691,0.09664831816571476
10,-430.034181627212,0.07568571967336275
11,-1064.956223154612,0.052977939687187114
12,-684.4257025443188,0.03829142042821649
13,-760.5571114179102,0.027787440820805216
14,-540.2562544665223,0.021158436070560747
15,-310.6873730138494,0.017246851468890014
16,-415.84881350047897,0.014114865508586266
17,-430.38626494063254,0.011505433961097794
18,-535.6782614915517,0.008795867496262062
19,-459.5289180710475,0.006971404893902233
20,-557.2653213206496,0.005308298296372238
21,-501.1701544254978,0.004123762457015176
22,-802.3834156099202,0.003053121040983412
23,-513.0080398467148,0.0024101550874805117
24,-507.3733760413916,0.001864844604501621
25,-828.4136431502676,0.0013211306030424532
26,-795.1989977936378,0.0009742164824827795
27,-526.3632200441447,0.0007752428387246474
28,-349.7663763998405,0.0006344606390813477
29,-642.7822720464956,0.0004716238157431457
30,-507.5495322536981,0.00036200291165164816
31,-480.8507774677168,0.0002915522105097969
32,-490.4590194561976,0.0002320056859806373
33,-697.6392760003348,0.0001724605123727226
34,-536.4781961563065,0.00013290663718190933
35,-632.7071346161423,9.761481335054274e-05
36,-385.6650949555279,7.893337355962732e-05
37,-372.85732013428697,6.408350581870218e-05
38,-416.65279956093224,5.140553412303118e-05
39,-706.4115624918959,3.498697258222355e-05
40,-618.0928409290602,2.5903398477615907e-05
41,-833.665188960184,1.894894972370769e-05
