,number_of_games,scores,eps_history
0,1,-520.2506671730096,0.0
1,2,-624.7312498592408,0.0
2,3,-760.6126116658605,0.0
3,4,-500.8174760425342,0.0
4,5,-590.5737653429519,0.0
5,6,-709.405551505809,0.0
6,7,-334.24441085555304,0.0
7,8,-336.766179731191,0.0
8,9,-438.8004304198814,0.0
9,10,20.03890225499444,0.0
10,11,-179.70352883307044,0.0
11,12,-17.224850144283693,0.0
12,13,-164.08825625273693,0.0
13,14,-176.4865215478317,0.0
14,15,-233.97516366522686,0.0
15,16,-580.4919075239386,0.0
16,17,-266.22189048818666,0.0
17,18,-362.3419852453685,0.0
18,19,-256.7044788008121,0.0
19,20,-372.697235734948,0.0
20,21,-176.4996185454767,0.0
21,22,-88.97673048769265,0.0
22,23,-297.48225449516536,0.0
23,24,-304.9323820866638,0.0
24,25,-317.6876855796659,0.0
25,26,-132.33477901498242,0.0
26,27,-381.34873299548235,0.0
27,28,-153.03959632229066,0.0
28,29,-396.52369852102737,0.0
29,30,-544.4084190376027,0.0
30,31,-284.3587786043772,0.0
31,32,-479.25207749712865,0.0
32,33,-327.98539663593414,0.0
33,34,-586.4063059436453,0.0
34,35,-590.2482499662797,0.0
35,36,-508.15725728265795,0.0
36,37,-410.276040538356,0.0
37,38,-481.86073635772425,0.0
38,39,-197.60678116136214,0.0
39,40,-415.99053936637284,0.0
40,41,-313.1711220884321,0.0
41,42,-395.7657434450635,0.0
42,43,-173.46947022947336,0.0
43,44,-518.6592511065979,0.0
44,45,-337.4487379833872,0.0
45,46,-231.86989777789054,0.0
46,47,11.673920419295257,0.0
47,48,-312.9746185629103,0.0
48,49,-524.482838451228,0.0
49,50,-312.6354788849496,0.0
50,51,-544.5113271710356,0.0
51,52,-410.5885396903574,0.0
52,53,-311.28502993623545,0.0
53,54,-457.14241720449604,0.0
54,55,-324.1699053983117,0.0
55,56,-346.5337419471912,0.0
56,57,-777.3309899111505,0.0
57,58,-437.89527039638585,0.0
58,59,-435.78508337625834,0.0
59,60,-139.38615248452516,0.0
60,61,-338.55588565276594,0.0
61,62,-543.6248652155957,0.0
62,63,-449.7582889696029,0.0
63,64,-268.2592672160054,0.0
64,65,-362.46763951504283,0.0
65,66,-126.35749352511819,0.0
66,67,-500.0591086313693,0.0
67,68,-540.7727404280906,0.0
68,69,-327.07474081386624,0.0
69,70,-510.42390918746895,0.0
70,71,-429.0620990539334,0.0
71,72,-533.5560361883423,0.0
72,73,-502.95211452498756,0.0
73,74,-138.26011914521413,0.0
74,75,-198.97214141734202,0.0
75,76,-425.40841438292483,0.0
76,77,-597.2307452699602,0.0
77,78,-650.4059163457925,0.0
78,79,-375.64198908126883,0.0
79,80,-594.9781047076654,0.0
80,81,-520.7270532214284,0.0
81,82,-398.29501062850596,0.0
82,83,-620.1945062213811,0.0
83,84,-361.9167071142291,0.0
84,85,-519.3063927838759,0.0
85,86,-599.6405865110698,0.0
86,87,-116.7769689404672,0.0
87,88,-421.4153989780476,0.0
88,89,-468.6229502758508,0.0
89,90,-498.29768717980573,0.0
90,91,-426.8499636750101,0.0
91,92,-786.6662463160225,0.0
92,93,-497.1555523644026,0.0
93,94,-417.1523241572358,0.0
94,95,-412.72769610952406,0.0
95,96,-337.9254111558956,0.0
96,97,-428.9791201937181,0.0
97,98,-352.78260268963606,0.0
98,99,-202.85203583537944,0.0
99,100,-241.8168088755071,0.0
