,number_of_games,scores,eps_history
0,1,-182.61831175088943,1.0
1,2,-202.20883589422664,0.6307015796504022
2,3,-336.13296904184944,0.48216934216002305
3,4,-524.6610756060222,0.3216568272936575
4,5,-513.2555261060119,0.2180462394611462
5,6,-475.28108950072954,0.17006994970446757
6,7,-463.9680103263376,0.12591514358407907
7,8,-361.5378192122597,0.09939829434415674
8,9,-369.38083432995495,0.07448199463150891
9,10,-552.5564224109421,0.054704160439930975
10,11,-447.208968576345,0.04335727567176453
11,12,-550.6187038729029,0.03248885099215044
12,13,-603.872679211347,0.023861811515339688
13,14,-414.04622886842293,0.019528565021725175
14,15,-593.3289449665216,0.014574780973532197
15,16,-498.5366571943957,0.011644611098198573
16,17,-584.5977208366351,0.009082469978353392
17,18,-824.0648279688339,0.006408647934851638
18,19,-432.5108397362187,0.004744787814066473
19,20,-464.2456158211886,0.0038367343657559104
20,21,-318.89804666616453,0.003127432836297737
21,22,-441.2914823133997,0.0024886870151829823
22,23,-806.6911181182596,0.0018499556851792798
23,24,-472.0239961125057,0.0014545264751092033
24,25,-722.6120676740023,0.0010555254387901503
25,26,-720.7700154956253,0.000787771762300171
26,27,-758.3313474435117,0.0005855870350108085
27,28,-791.5539357375732,0.0004232508755023302
28,29,-388.30342769646313,0.0003395169637689849
29,30,-761.5719245864921,0.0002473712444656378
30,31,-494.081820469078,0.00019843251061217536
31,32,-693.7698203122403,0.00014515808303641834
32,33,-542.9915925762854,0.00011367392821238362
33,34,-545.3818325561184,8.620951847446631e-05
34,35,-668.8156147282838,6.382717179542737e-05
35,36,-577.7841237190049,4.8795668870204615e-05
36,37,-788.641751985865,3.598247196579223e-05
37,38,-448.9662486353641,2.851889040661717e-05
38,39,-779.1019272443657,2.0530445574844397e-05
39,40,-460.9579475948919,1.607748151274219e-05
40,41,-551.8022583712673,1.2340545420649287e-05
41,42,-563.1625892122115,9.586778109199826e-06
42,43,-510.8431565271621,7.3584952096199475e-06
43,44,-736.609481814623,5.339936410842012e-06
44,45,-693.565921239267,3.844163370061706e-06
45,46,-547.7546895746091,2.892110380200565e-06
46,47,-474.18123460111474,2.2830521465832246e-06
47,48,-529.7863082472256,1.7878680979185878e-06
48,49,-624.1253998675395,1.3723086822403097e-06
49,50,-760.6932872539147,1.0079079473876777e-06
50,51,-448.6238559557173,7.255822005436281e-07
51,52,-497.9300438065788,5.614153457737355e-07
52,53,-421.8101229748125,4.5946369482839475e-07
53,54,-530.402487947939,3.4017436476297764e-07
54,55,-630.0272283075207,2.478502252511388e-07
55,56,-845.4800757765809,1.5884585366313382e-07
56,57,-467.47735429603364,1.2489245091941744e-07
57,58,-531.7917158186626,9.663486571875742e-08
58,59,-895.2296330008029,6.984579417602587e-08
59,60,-882.7249920151282,4.987979815895412e-08
60,61,-796.2020182674256,3.5336846653228796e-08
61,62,-413.2011799286774,2.789515371109089e-08
62,63,-803.2359092927984,2.0162072458235658e-08
63,64,-883.4050912492401,1.4226485122412305e-08
64,65,-365.36694001091894,1.1596418327534546e-08
65,66,-396.39079410273087,9.265029903460439e-09
66,67,-451.2138662187663,7.461928790762434e-09
67,68,-398.3257817004647,5.961754002936595e-09
68,69,-491.16308351961015,4.485254391209299e-09
69,70,-406.44051151860776,3.685485126176134e-09
70,71,-704.9365971166866,2.6852356123864237e-09
71,72,-643.8809483918287,2.0610984384299706e-09
72,73,-567.7090666449594,1.5694003570131368e-09
73,74,-458.35960305539277,1.2240882504692671e-09
74,75,-687.5137646802283,8.954495579245045e-10
75,76,-517.1214910852364,7.125632441066757e-10
76,77,-689.6494957539185,4.791791584660115e-10
77,78,-901.6571482678553,3.435761506583281e-10
78,79,-602.5797433705147,2.6690783978339764e-10
79,80,-650.2345942636898,2.0569243901138946e-10
80,81,-666.6615626752234,1.4867047883697324e-10
81,82,-794.8495917368946,1.0919274876049839e-10
82,83,-364.13400146012907,8.865013409400923e-11
83,84,-529.0281401969835,6.970111127241485e-11
84,85,-483.57354197417953,5.222904306211962e-11
85,86,-729.88852104621,3.8053955349096994e-11
86,87,-707.551731958408,2.7726020482296368e-11
87,88,-810.1045419456617,2.0120307492707127e-11
88,89,-444.6457213957118,1.5016416951275792e-11
89,90,-424.9720540528634,1.1388346430349448e-11
90,91,-712.4708523280673,8.297521860492964e-12
91,92,-480.7690165519282,6.471834272276974e-12
92,93,-518.3280115181173,4.967566887180124e-12
93,94,-785.9466420596842,3.6193573045857274e-12
94,95,-411.8831743762143,2.938441554296045e-12
95,96,-455.7687438426273,2.366580773342672e-12
96,97,-361.19329665013896,1.9060118955120554e-12
97,98,-513.0316688851591,1.4455061974430686e-12
98,99,-323.2895220221181,1.1830058144548974e-12
99,100,-443.21871435489464,9.643021582831072e-13
